Country Code,Year,FDI,GDP_Growth,Internet_Usage,WGI
MRT,2010,2.31890567703789,2.62022948104543,4.0,-0.985421478748322
MRT,2010,2.31890567703789,2.62022948104543,4.0,-0.909265220165253
MRT,2011,8.70335489423716,4.17278327815399,4.5,-0.929718732833862
MRT,2011,8.70335489423716,4.17278327815399,4.5,-0.801002621650696
MRT,2011,8.70335489423716,4.17278327815399,4.5,-0.641656637191772
MRT,2011,8.70335489423716,4.17278327815399,4.5,-1.17367887496948
MRT,2011,8.70335489423716,4.17278327815399,4.5,-0.961429834365845
MRT,2011,8.70335489423716,4.17278327815399,4.5,-0.9275963306427
MRT,2012,20.6013054045892,4.47001319170479,5.0,-0.939481437206268
MRT,2012,20.6013054045892,4.47001319170479,5.0,-0.652322828769684
MRT,2012,20.6013054045892,4.47001319170479,5.0,-0.793573498725891
MRT,2012,20.6013054045892,4.47001319170479,5.0,-1.13399171829224
MRT,2012,20.6013054045892,4.47001319170479,5.0,-0.914369821548462
MRT,2012,20.6013054045892,4.47001319170479,5.0,-0.910916328430176
MRT,2013,15.5890028558149,4.1508131898954,6.2,-1.00880360603333
MRT,2013,15.5890028558149,4.1508131898954,6.2,-0.671195030212402
MRT,2013,15.5890028558149,4.1508131898954,6.2,-0.846973955631256
MRT,2013,15.5890028558149,4.1508131898954,6.2,-1.01476144790649
MRT,2013,15.5890028558149,4.1508131898954,6.2,-0.994336724281311
MRT,2013,15.5890028558149,4.1508131898954,6.2,-0.959503531455994
MRT,2014,7.62361704174833,4.27482328814457,11.8,-0.873123645782471
MRT,2014,7.62361704174833,4.27482328814457,11.8,-0.832643926143646
MRT,2014,7.62361704174833,4.27482328814457,11.8,-0.932971298694611
MRT,2014,7.62361704174833,4.27482328814457,11.8,-0.589508354663849
MRT,2014,7.62361704174833,4.27482328814457,11.8,-0.991944909095764
MRT,2014,7.62361704174833,4.27482328814457,11.8,-0.895771265029907
MRT,2015,8.13584950372229,5.37633924099251,17.6,-0.891648173332214
MRT,2015,8.13584950372229,5.37633924099251,17.6,-0.912680149078369
MRT,2015,8.13584950372229,5.37633924099251,17.6,-0.939602792263031
MRT,2015,8.13584950372229,5.37633924099251,17.6,-0.635684847831726
MRT,2015,8.13584950372229,5.37633924099251,17.6,-1.06793129444122
MRT,2015,8.13584950372229,5.37633924099251,17.6,-0.888364434242249
MRT,2016,4.23731114711712,1.26090923067225,19.2328,-0.746190071105957
MRT,2016,4.23731114711712,1.26090923067225,19.2328,-0.788824498653412
MRT,2016,4.23731114711712,1.26090923067225,19.2328,-0.762259602546692
MRT,2016,4.23731114711712,1.26090923067225,19.2328,-0.748691558837891
MRT,2016,4.23731114711712,1.26090923067225,19.2328,-0.85434877872467
MRT,2016,4.23731114711712,1.26090923067225,19.2328,-0.774308800697327
MRT,2017,8.65007999188081,6.27054566937677,21.0172,-0.618081569671631
MRT,2017,8.65007999188081,6.27054566937677,21.0172,-0.819411277770996
MRT,2017,8.65007999188081,6.27054566937677,21.0172,-0.7732053399086
MRT,2017,8.65007999188081,6.27054566937677,21.0172,-0.629497766494751
