REF_AREA,TIME_PERIOD,Exposure
BTN,2005,0.0
BTN,2006,0.0
BTN,2007,0.0
BTN,2008,0.0
BTN,2009,0.0
BTN,2010,0.0
BTN,2011,0.0
BTN,2012,0.0
BTN,2013,0.0
BTN,2014,0.0
BTN,2015,0.0
BTN,2016,0.0
BTN,2017,0.0
BTN,2018,0.0
BTN,2019,0.0
BTN,2020,0.0
BTN,2021,0.0
BTN,2022,0.0
BTN,2023,0.0
BTN,2024,0.0
BWA,2005,0.0
BWA,2006,0.0
BWA,2007,0.0
BWA,2008,0.0
BWA,2009,0.0
BWA,2010,0.0
BWA,2011,0.0
BWA,2012,0.0
BWA,2013,0.0
BWA,2014,0.0
BWA,2015,0.0
BWA,2016,0.0
BWA,2017,0.0
BWA,2018,0.0
BWA,2019,0.0
BWA,2020,0.0
BWA,2021,0.0
BWA,2022,0.0
BWA,2023,0.0
BWA,2024,0.0
CAF,2005,0.0
CAF,2006,0.0
CAF,2007,0.0
CAF,2008,0.0
CAF,2009,0.0
CAF,2010,0.0
CAF,2011,0.0
CAF,2012,0.0
CAF,2013,0.0
CAF,2014,0.0
CAF,2015,0.0
CAF,2016,0.0
CAF,2017,0.0
CAF,2018,0.0
CAF,2019,0.0
CAF,2020,0.0
CAF,2021,0.0
CAF,2022,0.0
CAF,2023,0.0
CAF,2024,0.0
CAN,2005,0.005900206890513247
CAN,2006,0.005900206890513247
CAN,2007,0.005900206890513247
CAN,2008,0.005900206890513247
CAN,2009,0.022560848823913734
CAN,2010,0.022560848823913734
CAN,2011,0.03659496631693986
CAN,2012,0.03898092475496549
CAN,2013,0.049543569640533414
CAN,2014,0.05079339832134025
CAN,2015,0.12471967435118977
CAN,2016,0.12471967435118977
CAN,2017,1.8446135557902865
CAN,2018,1.8446135557902865
CAN,2019,1.8446135557902865
CAN,2020,1.8446135557902865
CAN,2021,1.8446135557902865
CAN,2022,1.8446135557902865
CAN,2023,1.8446135557902865
CAN,2024,1.8446135557902865
CHE,2005,0.0
CHE,2006,0.0
CHE,2007,0.0
CHE,2008,0.0
CHE,2009,0.3862069014467851
CHE,2010,0.3862069014467851
CHE,2011,0.3862069014467851
CHE,2012,0.3862069014467851
CHE,2013,0.3862069014467851
CHE,2014,0.5844002110109986
CHE,2015,0.5844002110109986
CHE,2016,0.5844002110109986
CHE,2017,0.5844002110109986
CHE,2018,0.5844002110109986
CHE,2019,0.5844002110109986
CHE,2020,0.5844002110109986
CHE,2021,0.5844002110109986
CHE,2022,0.5844002110109986
CHE,2023,0.5844002110109986
CHE,2024,0.5844002110109986
CHL,2005,6.846058690015843
CHL,2006,7.097408661893546
CHL,2007,7.586654442149852
CHL,2008,7.586654442149852
CHL,2009,8.035635822440337
CHL,2010,8.035635822440337
CHL,2011,8.05439253976076
CHL,2012,8.05439253976076
CHL,2013,8.05439253976076
CHL,2014,8.05439253976076
CHL,2015,8.10899902563341
CHL,2016,8.163680397362203
CHL,2017,8.163680397362203
CHL,2018,8.17949126697377
CHL,2019,8.885173771562192
CHL,2020,9.113234713834203
CHL,2021,9.113234713834203
CHL,2022,9.113234713834203
CHL,2023,9.113234713834203
CHL,2024,9.113234713834203
CHN,2005,2.1686757370745684
CHN,2006,2.1925118221480964
CHN,2007,2.1925118221480964
CHN,2008,2.206046260497793
CHN,2009,2.206046260497793
CHN,2010,2.210864109127039
CHN,2011,2.2122341002920245
CHN,2012,2.2122341002920245
CHN,2013,2.2122341002920245
CHN,2014,2.428137285044992
CHN,2015,2.8546979935333554
CHN,2016,2.8546979935333554
CHN,2017,2.8546979935333554
CHN,2018,2.8566362552114843
CHN,2019,2.8566362552114843
CHN,2020,2.8566362552114843
CHN,2021,2.8566362552114843
CHN,2022,2.8566362552114843
CHN,2023,2.8566362552114843
CHN,2024,2.8566362552114843
CIV,2005,0.0
CIV,2006,0.0
CIV,2007,0.0
CIV,2008,0.0
CIV,2009,0.0
CIV,2010,0.0
CIV,2011,0.0
CIV,2012,0.0
CIV,2013,0.0
CIV,2014,0.0
CIV,2015,0.0
CIV,2016,4.655719684916064
CIV,2017,4.655719684916064
CIV,2018,4.655719684916064
CIV,2019,4.655719684916064
CIV,2020,4.655719684916064
CIV,2021,4.655719684916064
CIV,2022,4.655719684916064
CIV,2023,4.655719684916064
CIV,2024,4.655719684916064
