REF_AREA,COUNTERPART_AREA,weight
ABW,TZA,9.733466571263965e-05
ABW,UGA,0.0003651465346771471
ABW,UKR,0.00011648850213220815
ABW,URY,0.00018369079832742915
ABW,USA,0.21946957778677673
ABW,UZB,1.691004373100685e-05
ABW,VCT,0.00035227142254532564
ABW,VEN,0.000734039215902273
ABW,VNM,0.00011670811308975369
ABW,VUT,1.4721321680117169e-06
ABW,W,0.5292457794862842
ABW,WSM,1.5171289085485715e-06
ABW,WXD,0.002427857564269367
ABW,YEM,1.2596400977749893e-05
ABW,ZAF,0.001496134906918988
ABW,ZMB,0.0003703567542754294
ABW,ZWE,8.4587156277863e-06
AFG,ABW,9.713634003971325e-05
AFG,AGO,0.00043558836610556323
AFG,AIA,1.8093931200023647e-06
AFG,ALB,0.00010335972884077443
AFG,ANT_F,8.586585024159508e-05
AFG,ARE,0.008659491536679427
AFG,ARG,0.00023203151858796204
AFG,ARM,0.00011553260636952641
AFG,ATG,5.8670513675423885e-05
AFG,AUS,0.0022792245850766445
AFG,AUT,0.0003695692131058262
AFG,AZE,0.0002529777046780257
AFG,BDI,3.446717693468574e-06
AFG,BEL,0.002479811791958475
AFG,BEN,3.460570669672756e-05
AFG,BFA,6.142701290538586e-05
AFG,BGD,3.28461356841262e-06
AFG,BGR,0.00030173507718867095
AFG,BHR,0.00036524635542611064
AFG,BHS,9.459030883418675e-05
AFG,BIH,3.2225668170981e-05
AFG,BLR,9.60983389630806e-06
AFG,BLZ,8.904061213905526e-06
AFG,BMU,6.24769226808607e-05
AFG,BOL,3.6891204735747334e-05
AFG,BRA,0.0019725286841988546
AFG,BRB,5.626325526660945e-05
AFG,BRN,5.942999701995141e-05
AFG,BTN,1.1879291647091415e-05
AFG,BWA,9.445129300280443e-05
AFG,CAF,2.2586913148913333e-05
AFG,CAN,0.0032735780931406324
AFG,CHE,0.008585526365135905
AFG,CHL,0.000576495736326427
AFG,CHN,0.011039544644506204
AFG,CIV,2.147940415658952e-05
AFG,CMR,8.606756901790159e-05
AFG,COD,2.748649210112927e-05
AFG,COG,0.00030955909232799084
AFG,COL,0.00017719463380104286
AFG,COM,1.0289601868993972e-05
AFG,CPV,4.2696816938650834e-05
AFG,CRI,0.000104111435075854
AFG,CUB,2.817087773254991e-05
AFG,CYM,6.836735398368101e-05
AFG,CYP,0.0003402424624815729
AFG,CZE,0.0017603757003945531
AFG,DEU,0.011140325775495638
AFG,DJI,9.677883603977723e-06
AFG,DMA,1.019992207567216e-05
AFG,DNK,0.003933069683287687
AFG,DOM,3.1256931975369254e-05
AFG,DZA,0.00013162174457466763
AFG,ECU,3.168467299500715e-05
AFG,EGY,0.0010083216827018683
AFG,ERI,2.529577758350653e-05
AFG,ESP,0.0019450040356544962
AFG,EST,9.940190923577262e-05
AFG,ETH,7.645408960153981e-05
AFG,FIN,0.0004317309198193741
AFG,FJI,3.0647887091725746e-05
AFG,FRA,0.010264086874137901
AFG,FRO,4.3154208188059085e-05
AFG,GAB,6.901990207329907e-05
AFG,GBR,0.1295573271550291
AFG,GEO,0.00018315943371295933
AFG,GHA,1.4534931488900123e-05
AFG,GIN,2.6690067486723935e-06
AFG,GMB,1.3855163516214214e-05
AFG,GNB,1.4701653272690805e-05
AFG,GNQ,0.0001941273453466177
AFG,GRC,0.00019668163973093263
