Country_Label,Tier_CN,Centrality,Resilience
MWI,核心枢纽,0.8578680203045684,4.090025595095539
DOM,主要节点,0.8527918781725887,5.853890326380148
DJI,主要节点,0.8527918781725887,4.314205714085625
CRI,主要节点,0.8477157360406091,7.424514400709967
OMN,主要节点,0.83248730964467,5.578036369232351
SRB,主要节点,0.83248730964467,3.926356329687037
UGA,主要节点,0.8274111675126903,5.449404897055143
TKM,主要节点,0.8223350253807106,4.312065855402846
MKD,主要节点,0.8223350253807106,8.216120968092167
SVK,主要节点,0.8172588832487309,4.219790838727147
SEN,主要节点,0.8172588832487309,5.7885744782550095
MDV,主要节点,0.8172588832487309,5.060325950496435
TZA,主要节点,0.8121827411167513,3.981256567938061
ATG,主要节点,0.8071065989847716,3.9868773070211434
ISL,主要节点,0.8071065989847716,3.2512275604245366
LBY,主要节点,0.8071065989847716,4.713880517004983
BGD,主要节点,0.8020304568527918,4.727176400061145
SVN,主要节点,0.8020304568527918,4.988455673764048
JOR,主要节点,0.8020304568527918,8.44418881521705
TGO,主要节点,0.7969543147208121,5.6418632265198
HND,主要节点,0.7969543147208121,4.764353386233058
MRT,主要节点,0.7969543147208121,6.509835679821996
BIH,主要节点,0.7969543147208121,6.99966463070678
BDI,主要节点,0.7918781725888324,5.691725511944468
PNG,主要节点,0.7918781725888324,4.08074306103859
GAB,主要节点,0.7868020304568527,4.81009976089281
BLR,主要节点,0.781725888324873,4.324412161975542
ETH,主要节点,0.7715736040609137,3.648956941989542
JAM,主要节点,0.766497461928934,5.350528869580143
TCA,主要节点,0.766497461928934,4.079718240694338
CMR,主要节点,0.766497461928934,4.16267042126257
SLV,主要节点,0.7614213197969543,4.470503965871958
MMR,主要节点,0.7512690355329948,3.731974875532774
ECU,主要节点,0.7411167512690354,4.643952383819261
KNA,主要节点,0.7411167512690354,5.508751329295718
MDG,主要节点,0.7411167512690354,5.54665997351535
CIV,主要节点,0.7360406091370558,4.431697502734016
BWA,主要节点,0.7360406091370558,4.4135699095944885
CPV,主要节点,0.7360406091370558,3.842553491915052
DMA,主要节点,0.7360406091370558,5.626360620376511
COG,主要节点,0.7258883248730964,4.170206691222912
TJK,主要节点,0.7208121827411167,2.8405070920294784
AIA,主要节点,0.7208121827411167,5.279965964571891
MLI,主要节点,0.715736040609137,5.185949224098061
MNE,主要节点,0.6954314720812182,5.231567816046062
NPL,主要节点,0.6903553299492385,1.861414844344548
MNG,主要节点,0.6852791878172588,4.34884163817815
PRY,主要节点,0.6852791878172588,4.924812778990637
ALB,主要节点,0.6852791878172588,2.9552174450148696
TCD,主要节点,0.6802030456852791,4.317307033428128
NER,边缘节点,0.6751269035532994,4.380328693510467
NIC,边缘节点,0.6649746192893401,4.083016876813058
YEM,边缘节点,0.6598984771573604,4.638735643606615
KHM,边缘节点,0.6598984771573604,4.954556001123873
ZMB,边缘节点,0.6598984771573604,2.474677741160052
