REF_AREA,TIME_PERIOD,Degree,Trend,Cycle
BLZ,2019,0.405,0.38327168749069845,0.021728312509301573
BLZ,2020,0.365,0.3944506408766705,-0.029450640876670486
BLZ,2021,0.415,0.41236718700910785,0.0026328129908921305
BLZ,2022,0.425,0.43533019776852966,-0.01033019776852967
BLZ,2023,0.475,0.4620697951139974,0.012930204886002605
BLZ,2024,0.495,0.48966326936160787,0.005336730638392129
BMU,2005,0.55,0.5678889780964417,-0.017888978096441632
BMU,2006,0.595,0.5881797534600828,0.006820246539917196
BMU,2007,0.62,0.6056082923282933,0.014391707671706722
BMU,2008,0.63,0.6184035976520295,0.011596402347970547
BMU,2009,0.615,0.6270973456097206,-0.012097345609720644
BMU,2010,0.63,0.6340766367554714,-0.00407663675547143
BMU,2011,0.645,0.6397929963458315,0.005207003654168485
BMU,2012,0.635,0.6440456877564747,-0.00904568775647474
BMU,2013,0.645,0.6474670949477418,-0.002467094947741777
BMU,2014,0.67,0.6492422918389377,0.02075770816106237
BMU,2015,0.645,0.6481616171577289,-0.003161617157728891
BMU,2016,0.63,0.6463366429375514,-0.016336642937551438
BMU,2017,0.65,0.645373082466605,0.0046269175333950585
BMU,2018,0.655,0.6442627861630807,0.01073721383691928
BMU,2019,0.66,0.6427379112505139,0.017262088749486093
BMU,2020,0.625,0.6422485691663469,-0.017248569166346872
BMU,2021,0.635,0.6470068055479393,-0.012006805547939314
BMU,2022,0.645,0.6584648949660354,-0.013464894966035423
BMU,2023,0.67,0.6761540231037086,-0.006154023103708606
BMU,2024,0.72,0.6974509924494671,0.022549007550532907
BOL,2005,0.165,0.17094209703993915,-0.005942097039939143
BOL,2006,0.18,0.18705380017813064,-0.007053800178130648
BOL,2007,0.2,0.20221476778993194,-0.002214767789931932
BOL,2008,0.235,0.21434565632045194,0.02065434367954805
BOL,2009,0.235,0.22101275936841042,0.01398724063158957
BOL,2010,0.21,0.22308706552125487,-0.013087065521254881
BOL,2011,0.22,0.2236775218674873,-0.0036775218674872934
BOL,2012,0.215,0.22379914501220874,-0.008799145012208742
BOL,2013,0.245,0.22387854806172236,0.021121451938277636
BOL,2014,0.205,0.2229344809203778,-0.017934480920377804
BOL,2015,0.215,0.22336512580264928,-0.008365125802649281
BOL,2016,0.235,0.2246991479757506,0.01030085202424938
BOL,2017,0.22,0.22512679257847173,-0.005126792578471734
BOL,2018,0.245,0.2244864410734826,0.020513558926517406
BOL,2019,0.215,0.22179618811089777,-0.006796188110897772
BOL,2020,0.215,0.21935629776907467,-0.004356297769074674
BOL,2021,0.22,0.21837964402862697,0.0016203559713730276
BOL,2022,0.2,0.21938209322711635,-0.019382093227116343
BOL,2023,0.235,0.2231387686575241,0.01186123134247588
BOL,2024,0.23,0.22732365869649301,0.002676341303506996
BRA,2005,0.825,0.8448933514926894,-0.01989335149268945
BRA,2006,0.885,0.869072416385175,0.015927583614825047
BRA,2007,0.9,0.89006854503883,0.009931454961169983
BRA,2008,0.91,0.9072472145931965,0.0027527854068035706
BRA,2009,0.91,0.921562934981603,-0.01156293498160299
