Country,Out_Degree,Out_Centrality,Out_Strength
Nepal,41,0.20398009950248755,424.132067
Guinea-Bissau,39,0.19402985074626866,163.584638
Bolivia,38,0.1890547263681592,192.33553999999998
Venezuela,38,0.1890547263681592,181.812473
Zambia,38,0.1890547263681592,239.397103
Maldives,37,0.18407960199004975,202.79362899999998
Grenada,36,0.1791044776119403,215.663213
Comoros,36,0.1791044776119403,201.316632
Sint Maarten,36,0.1791044776119403,188.739405
Saint Kitts and Nevis,36,0.1791044776119403,267.333076
Brunei Darussalam,35,0.17412935323383086,96.369458
Haiti,35,0.17412935323383086,149.48611499999998
Zimbabwe,34,0.1691542288557214,270.70173
Faroe Islands,33,0.16417910447761194,120.690134
Sierra Leone,32,0.15920398009950248,145.506071
Cabo Verde,30,0.14925373134328357,108.296156
Fiji,29,0.14427860696517414,159.444038
Samoa,28,0.13930348258706468,98.336298
Saint Lucia,26,0.12935323383084577,112.82282599999999
Saint Vincent and the Grenadines,22,0.10945273631840796,100.58398199999999
Chad,22,0.10945273631840796,98.698294
French Polynesia,21,0.1044776119402985,126.42175200000001
Tajikistan,20,0.09950248756218906,43.223452
Vanuatu,19,0.0945273631840796,51.067769
Solomon Islands,17,0.0845771144278607,38.617031
Central African Republic,16,0.07960199004975124,56.392146
Bhutan,16,0.07960199004975124,29.78578
Gabon,14,0.06965174129353234,21.065265
Sao Tome and Principe,14,0.06965174129353234,25.877188
Democratic Republic of the Congo,13,0.06467661691542288,23.571581000000002
Tonga,12,0.05970149253731343,36.799821
Lesotho,9,0.04477611940298507,67.021326
Montserrat,8,0.03980099502487562,17.255945
Timor-Leste,7,0.03482587064676617,11.401918
Kiribati,1,0.004975124378109453,1.591032
Tuvalu,1,0.004975124378109453,0.792896
World,0,0.0,0.0
Rest of the world,0,0.0,0.0
Kosovo,0,0.0,0.0
